transaction_id,customer_id,source_account_id,destination_account_id,amount,currency,transaction_type,transaction_date,transaction_time,payee_payer_name,description,payment_channel,device_id,device_model,ip_address,ip_address_country,known_device,status,is_flagged,flag_reason,is_fraud,fraud_type,risk_score,location_risk,amount_risk,velocity_risk,ctr_flag,sar_flag
TXN-2024-000001,AU-CUST00301,ACC00000390,ACC00000968,31.8,AUD,Payment,2025-04-30,07:48:46,Payee-000968,Online purchase,Card Payment,DEV-UST00301,Samsung Galaxy S23,203.56.141.155,AU,True,Completed,False,,False,LEGITIMATE,5,Low,Low,Low,False,False
TXN-2024-000002,AU-CUST00749,ACC00000957,ACC00000849,90.64,AUD,Payment,2025-09-22,22:43:02,Payee-000849,Restaurant,Online Banking,DEV-UST00749,iPhone 14,203.51.161.252,AU,True,Completed,False,,False,LEGITIMATE,17,Low,Low,Low,False,False
TXN-2024-000003,AU-CUST00746,ACC00000953,ACC00000021,58.92,AUD,Payment,2025-08-16,23:15:42,Payee-000021,Bill payment,Mobile Banking,DEV-UST00746,iPhone 14,203.229.103.47,AU,True,Completed,False,,False,LEGITIMATE,34,Low,Low,Low,False,False
TXN-2024-000004,AU-CUST00274,ACC00000356,ACC00000706,16.24,AUD,Payment,2025-08-09,02:06:36,Payee-000706,Restaurant,Mobile Banking,DEV-UST00274,iPhone 14,203.21.129.187,AU,True,Completed,False,,False,LEGITIMATE,27,Low,Low,Low,False,False
TXN-2024-000005,AU-CUST00063,ACC00000081,ACC00001117,92.54,AUD,Payment,2025-04-17,06:35:39,Payee-001117,Rent payment,Branch,DEV-UST00063,Samsung Galaxy S23,203.104.60.182,AU,True,Completed,False,,False,LEGITIMATE,30,Low,Low,Low,False,False
TXN-2024-000006,AU-CUST00450,ACC00000582,ACC00000130,256.91,AUD,Payment,2025-06-17,22:59:04,Payee-000130,Salary payment,Branch,DEV-UST00450,Samsung Galaxy S23,203.99.169.141,AU,True,Completed,False,,False,LEGITIMATE,29,Low,Low,Low,False,False
TXN-2024-000007,AU-CUST00333,ACC00000430,ACC00000672,171.12,AUD,Payment,2025-07-15,13:47:44,Payee-000672,Restaurant,Branch,DEV-UST00333,iPhone 13,203.141.123.139,AU,True,Completed,False,,False,LEGITIMATE,34,Low,Low,Low,False,False
TXN-2024-000008,AU-CUST00329,ACC00000425,ACC00000318,223.01,AUD,Payment,2025-04-26,09:57:39,Payee-000318,Bill payment,Card Payment,DEV-UST00329,Samsung Galaxy S23,203.60.173.124,AU,True,Completed,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-000009,AU-CUST00516,ACC00000660,ACC00001180,15.37,AUD,Payment,2025-06-19,15:48:01,Payee-001180,Grocery shopping,Online Banking,DEV-UST00516,iPhone 14,203.146.200.27,AU,True,Completed,False,,False,LEGITIMATE,7,Low,Low,Low,False,False
TXN-2024-000010,AU-CUST00926,ACC00001174,ACC00000699,73.44,AUD,Payment,2025-07-01,19:08:07,Payee-000699,Restaurant,Mobile Banking,DEV-UST00926,iPhone 14,203.225.102.141,AU,True,Completed,False,,False,LEGITIMATE,32,Low,Low,Low,False,False
TXN-2024-000011,AU-CUST00801,ACC00001020,ACC00000979,5.0,AUD,Payment,2024-10-29,04:41:18,Payee-000979,Rent payment,Mobile Banking,DEV-UST00801,Samsung Galaxy S23,203.125.56.25,AU,True,Completed,False,,False,LEGITIMATE,21,Low,Low,Low,False,False
TXN-2024-000012,AU-CUST00671,ACC00000856,ACC00000666,5.0,AUD,Payment,2025-08-17,06:21:44,Payee-000666,Rent payment,Card Payment,DEV-UST00671,Samsung Galaxy S23,203.248.136.82,AU,True,Completed,False,,False,LEGITIMATE,7,Low,Low,Low,False,False
TXN-2024-000013,AU-CUST00709,ACC00000906,ACC00001135,1368.02,AUD,Payment,2025-07-12,12:29:42,Payee-001135,Grocery shopping,Online Banking,DEV-UST00709,iPhone 14,203.31.60.43,AU,True,Completed,False,,False,LEGITIMATE,24,Low,Low,Low,False,False
TXN-2024-000014,AU-CUST00404,ACC00000525,ACC00000365,78.7,AUD,Payment,2025-08-29,05:02:26,Payee-000365,Grocery shopping,Online Banking,DEV-UST00404,iPhone 13,203.96.254.171,AU,True,Completed,False,,False,LEGITIMATE,27,Low,Low,Low,False,False
TXN-2024-000015,AU-CUST00546,ACC00000697,ACC00000944,199.83,AUD,Payment,2025-03-30,07:39:50,Payee-000944,Bill payment,Mobile Banking,DEV-UST00546,iPhone 14,203.84.151.221,AU,True,Completed,False,,False,LEGITIMATE,31,Low,Low,Low,False,False
TXN-2024-000016,AU-CUST00423,ACC00000550,ACC00000545,201.11,AUD,Payment,2025-08-10,03:48:05,Payee-000545,Salary payment,Mobile Banking,DEV-UST00423,iPhone 13,203.234.210.165,AU,True,Completed,False,,False,LEGITIMATE,33,Low,Low,Low,False,False
TXN-2024-000017,AU-CUST00807,ACC00001026,ACC00000732,60.94,AUD,Payment,2024-06-26,05:25:34,Payee-000732,Restaurant,ATM,DEV-UST00807,Samsung Galaxy S23,203.183.208.110,AU,True,Completed,False,,False,LEGITIMATE,28,Low,Low,Low,False,False
TXN-2024-000018,AU-CUST00991,ACC00001256,ACC00000870,708.55,AUD,Payment,2025-07-01,15:30:52,Payee-000870,Online purchase,ATM,DEV-UST00991,iPhone 14,203.78.211.76,AU,True,Completed,False,,False,LEGITIMATE,34,Low,Low,Low,False,False
TXN-2024-000019,AU-CUST00425,ACC00000552,ACC00000220,50.11,AUD,Payment,2024-09-07,11:54:17,Payee-000220,Grocery shopping,Card Payment,DEV-UST00425,iPhone 14,203.211.20.48,AU,True,Completed,False,,False,LEGITIMATE,11,Low,Low,Low,False,False
TXN-2024-000020,AU-CUST00715,ACC00000915,ACC00001101,5.0,AUD,Payment,2025-06-01,14:31:00,Payee-001101,Grocery shopping,Card Payment,DEV-UST00715,Samsung Galaxy S23,203.98.70.148,AU,True,Completed,False,,False,LEGITIMATE,7,Low,Low,Low,False,False
TXN-2024-000021,AU-CUST00056,ACC00000071,ACC00000923,88.14,AUD,Payment,2025-02-17,07:47:16,Payee-000923,Insurance,Mobile Banking,DEV-UST00056,Samsung Galaxy S23,203.114.197.227,AU,True,Completed,False,,False,LEGITIMATE,29,Low,Low,Low,False,False
TXN-2024-000022,AU-CUST00396,ACC00000510,ACC00000519,347.13,AUD,Payment,2025-06-05,17:44:08,Payee-000519,Grocery shopping,Card Payment,DEV-UST00396,Samsung Galaxy S23,203.3.59.154,AU,True,Completed,False,,False,LEGITIMATE,28,Low,Low,Low,False,False
TXN-2024-000023,AU-CUST00869,ACC00001104,ACC00000752,5.08,AUD,Payment,2025-07-05,14:54:16,Payee-000752,Online purchase,Card Payment,DEV-UST00869,iPhone 14,203.110.230.89,AU,True,Completed,False,,False,LEGITIMATE,28,Low,Low,Low,False,False
TXN-2024-000024,AU-CUST00682,ACC00000871,ACC00000842,38.7,AUD,Payment,2025-08-04,01:02:20,Payee-000842,Restaurant,Online Banking,DEV-UST00682,Samsung Galaxy S23,203.142.166.117,AU,True,Pending,False,,False,LEGITIMATE,10,Low,Low,Low,False,False
TXN-2024-000025,AU-CUST00523,ACC00000668,ACC00000577,474.27,AUD,Payment,2024-01-31,18:40:29,Payee-000577,Online purchase,Mobile Banking,DEV-UST00523,iPhone 14,203.150.150.174,AU,True,Pending,False,,False,LEGITIMATE,14,Low,Low,Low,False,False
TXN-2024-000026,AU-CUST00212,ACC00000272,ACC00000806,317.84,AUD,Payment,2025-07-06,15:30:34,Payee-000806,Grocery shopping,Branch,DEV-UST00212,Samsung Galaxy S23,203.53.54.89,AU,True,Completed,False,,False,LEGITIMATE,22,Low,Low,Low,False,False
TXN-2024-000027,AU-CUST00807,ACC00001026,ACC00000709,50.77,AUD,Payment,2025-04-27,17:52:01,Payee-000709,Insurance,Online Banking,DEV-UST00807,iPhone 13,203.144.203.52,AU,True,Completed,False,,False,LEGITIMATE,27,Low,Low,Low,False,False
TXN-2024-000028,AU-CUST00970,ACC00001231,ACC00000989,16.05,AUD,Payment,2024-10-11,15:00:15,Payee-000989,Rent payment,Mobile Banking,DEV-UST00970,iPhone 13,203.149.118.183,AU,True,Completed,False,,False,LEGITIMATE,16,Low,Low,Low,False,False
TXN-2024-000029,AU-CUST00386,ACC00000498,ACC00000295,63.38,AUD,Payment,2024-07-18,05:25:29,Payee-000295,Bill payment,ATM,DEV-UST00386,Samsung Galaxy S23,203.235.172.133,AU,True,Completed,False,,False,LEGITIMATE,6,Low,Low,Low,False,False
TXN-2024-000030,AU-CUST00808,ACC00001027,ACC00000006,99.3,AUD,Payment,2025-07-28,20:10:26,Payee-000006,Fuel,Online Banking,DEV-UST00808,iPhone 13,203.141.98.106,AU,True,Completed,False,,False,LEGITIMATE,24,Low,Low,Low,False,False
TXN-2024-000031,AU-CUST00584,ACC00000747,ACC00000513,243.41,AUD,Payment,2025-03-10,09:01:07,Payee-000513,Bill payment,Card Payment,DEV-UST00584,iPhone 13,203.174.187.122,AU,True,Completed,False,,False,LEGITIMATE,6,Low,Low,Low,False,False
TXN-2024-000032,AU-CUST00391,ACC00000504,ACC00001046,49.46,AUD,Payment,2024-11-18,06:41:16,Payee-001046,Bill payment,Mobile Banking,DEV-UST00391,iPhone 14,203.239.190.138,AU,True,Completed,False,,False,LEGITIMATE,19,Low,Low,Low,False,False
TXN-2024-000033,AU-CUST00326,ACC00000420,ACC00000158,1050.46,AUD,Payment,2025-02-12,00:10:05,Payee-000158,Utilities,Online Banking,DEV-UST00326,iPhone 14,203.197.89.189,AU,True,Completed,False,,False,LEGITIMATE,29,Low,Low,Low,False,False
